"","TranscriptID","GO.terms","Protein_name","KEGG_ID","moduleColor","MM.p","MM.cor"
"56","XM_022452387.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S11-like","crg:105317506","black",1.29434877403402e-05,0.78870446890922
"57","XM_022438607.1","GO:0005739;GO:0032991"," uncharacterized","crg:105320797","black",1.30942610319791e-05,0.788433930968966
"58","XM_022469114.1","GO:0032991;GO:0042254"," 60S ribosomal protein L7a-like","crg:105334503","black",1.46212116980899e-05,0.785837887729363
"59","XM_022457419.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L23","crg:105326418","black",1.64515777874134e-05,0.783022385312494
"60","XM_022456033.1","GO:0005739;GO:0030234"," ATPase inhibitor mai-2, mitochondrial-like","crg:105338542","black",1.77515331727726e-05,0.781185059460361
"61","XM_022444576.1",""," NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial-like","crg:105323542","black",1.8391094364816e-05,0.780324013061294
"62","XM_022478652.1","GO:0016491;GO:0042592"," glutaredoxin-C6-like","crg:105341327","black",1.96268638435089e-05,0.778732043260516
"63","XM_022490121.1",""," uncharacterized","crg:105344072","black",2.06863250688607e-05,0.777435601486737
"64","XM_022462820.1","GO:0005739;GO:0006091;GO:0009058;GO:0016491;GO:0044281;GO:0051186;GO:0055085"," NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7-like","crg:105341238","black",2.11180526239055e-05,0.776923917155106
"65","XM_022480626.1","GO:0005856;GO:0008150;GO:0032991"," dynein light chain 2, cytoplasmic","crg:105323463","black",2.19324216194996e-05,0.775983153004352
"66","XM_022472493.1","GO:0003735;GO:0005840;GO:0006412;GO:0019843;GO:0042254"," 60S ribosomal protein L9-like","crg:105348361","black",2.57735700194062e-05,0.77192023499616
"67","XM_022487266.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L26-like","crg:105325638","black",2.63900346552974e-05,0.771318225017583
"68","XM_022480834.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L23a-like","crg:105340451","black",2.6634386959868e-05,0.77108300011034
"69","XM_022461359.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S14","crg:105339837","black",2.82828048306455e-05,0.76954370041013
"70","XM_022477814.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L36-like","crg:105332946","black",3.29137491618721e-05,0.765604469650498
"71","XM_022434407.1","GO:0005739;GO:0006091;GO:0032991"," cytochrome b-c1 complex subunit 7-like","crg:105329512","black",3.32624698194095e-05,0.765327862362065
"72","XM_022456845.1","GO:0005622;GO:0009058;GO:0016887;GO:0022857;GO:0032991;GO:0034641;GO:0044281"," ATP synthase subunit delta, mitochondrial-like","crg:105343349","black",3.58698977711881e-05,0.763336318386239
"73","XM_022436139.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L13a-like","crg:105335803","black",3.62685743668128e-05,0.763043030813911
"74","XM_022477001.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S6-like","crg:105341326","black",3.64734007224796e-05,0.762893442551348
"75","XM_022465190.1","GO:0005840;GO:0008135"," eukaryotic translation initiation factor 1-like","crg:105325620","black",4.55943329296399e-05,0.756877505128705
"76","XM_022446537.1","GO:0003723;GO:0006397;GO:0034655"," U6 snRNA-associated Sm-like protein LSm3","crg:105323611","black",4.72873614367333e-05,0.755878404838582
"77","XM_022463499.1","GO:0006397"," probable splicing factor 3B subunit 5","crg:105320915","black",5.88945767998383e-05,0.749763412113675
"78","XM_022490291.1",""," small nuclear ribonucleoprotein-associated protein B-like","crg:105343135","black",5.99360629234816e-05,0.749267581447148
"79","XM_022475842.1",""," uncharacterized","crg:105331717","black",6.65474157907031e-05,0.746284364365226
"80","XM_022489696.1","GO:0005739;GO:0005840"," ribosomal protein 63, mitochondrial-like","crg:105344219","black",6.98025934626791e-05,0.744909304627685
"81","XM_022460201.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L10-like","crg:105336480","black",7.17361372965277e-05,0.74411872996967
"82","XM_022466190.1","GO:0003674"," putative hydrolase RBBP9","crg:105324549","black",7.23616278522991e-05,0.743866950698692
"83","XM_022462266.1",""," mapk-regulated corepressor-interacting protein 1-like","crg:105333929","black",7.36224195655506e-05,0.743365144521969
"84","XM_022483582.1",""," 60S ribosomal protein L7-like","crg:105344646","black",7.71134978946289e-05,0.742013671822589
"85","XM_022470531.1",""," uncharacterized","crg:105319242","black",8.11196094193002e-05,0.740526873162888
"86","XM_022487768.1","GO:0005739;GO:0005840"," ribosomal protein 63, mitochondrial-like","crg:105344219","black",9.34179428564956e-05,0.736330579664242
"87","XM_022470538.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S3a-like","crg:109618165","black",0.000104758628355689,0.732866868116401
"88","XM_022462482.1",""," putative ATP synthase subunit f, mitochondrial","crg:105322557","black",0.000105919969809333,0.732530809886173
"89","XM_022483970.1",""," leydig cell tumor 10 kDa protein homolog","crg:109618298","black",0.000116944921924972,0.729490469128412
"90","XM_022435081.1","GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S4-like","crg:105332495","black",0.000124614841680673,0.727518864896869
"91","XM_022445879.1","GO:0005575;GO:0006091;GO:0009058;GO:0016491;GO:0044281;GO:0051186;GO:0055085"," probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12","crg:105340173","black",0.000133060788707105,0.725465981439868
"92","XM_022478917.1","GO:0007009;GO:0022607"," caveolin-1-like","crg:105325537","black",0.000164538791721162,0.718694114381022
"93","XM_022489154.1",""," 40S ribosomal protein S10-like","crg:105341412","black",0.000164804248386005,0.718641963061668
"94","XM_022475803.1",""," NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13-like","crg:105341417","black",0.000167116327065724,0.718190783341479
"95","XM_022459638.1",""," putative ATP synthase subunit f, mitochondrial","crg:105322557","black",0.000171264973395604,0.717394587644714
"96","XM_022432667.1","GO:0003674;GO:0005654;GO:0009058;GO:0032991;GO:0034641"," mediator of RNA polymerase II transcription subunit 4-like","crg:105347641","black",0.000174071945093343,0.716865295880215
"97","XM_022462065.1","GO:0005634;GO:0032991;GO:0034641"," protein mago nashi homolog 2","crg:105337940","black",0.000183307501333036,0.715174420354902
"98","XM_022448294.1",""," protein FMC1 homolog","crg:105323191","black",0.000183957523005259,0.715058208977459
"99","XM_022470306.1","GO:0005634;GO:0006397;GO:0022618;GO:0032991;GO:0043167"," U1 small nuclear ribonucleoprotein C-like","crg:105330935","black",0.000187473646256837,0.714435681783438
"100","XM_022438304.1","GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S4-like","crg:105332495","black",0.000195013005924864,0.713134167757637
"101","XM_022432795.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S13-like","crg:105338085","black",0.000205031933787984,0.711470325273233
"102","XM_022470925.1","GO:0009058;GO:0016829;GO:0034641;GO:0044281;GO:0051186"," probable pterin-4-alpha-carbinolamine dehydratase","crg:105330630","black",0.000208557209139522,0.710901575240211
"103","XM_022463006.1","GO:0005739;GO:0005840;GO:0006412"," uncharacterized","crg:105331161","black",0.000214705911788001,0.709929160716032
"104","XM_022442550.1",""," 40S ribosomal protein S10-like","crg:105341412","black",0.000215276593094335,0.709840132595954
"105","XM_022476914.1","GO:0016491"," NADH-cytochrome b5 reductase 3-like","crg:105344830","black",0.000217045214402815,0.709565511130227
"106","XM_022465789.1","GO:0003735;GO:0005840;GO:0006412;GO:0019843;GO:0042254"," 60S ribosomal protein L9-like","crg:105348361","black",0.000217515467633206,0.709492818284564
"107","XM_022458920.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L12-like","crg:105324073","black",0.000219072017216079,0.709253167703741
"108","XM_022474388.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 39S ribosomal protein L14, mitochondrial-like","crg:105320386","black",0.000263319872090061,0.702988790212729
"109","XM_022430568.1",""," ER membrane protein complex subunit 4-like","crg:105341529","black",0.000293252447585568,0.699248667495747
"110","XM_022475906.1","GO:0005634;GO:0032991;GO:0034641"," small nuclear ribonucleoprotein Sm D2","crg:105346162","black",0.000300240646710068,0.698423126330071
"111","XM_022454936.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S27-like","crg:105323167","black",0.00030738408683897,0.697596186898126
"112","XM_022439982.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L44-like","crg:105348141","black",0.000311988101664579,0.697071949731519
"113","XM_022443630.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 28S ribosomal protein S14, mitochondrial-like","crg:105338952","black",0.000313868672564092,0.696859733546874
"114","XM_022453248.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S27-like","crg:105323167","black",0.000333223274795869,0.694737007282475
"115","XM_022451062.1","GO:0043167"," calmodulin-A-like","crg:109619586","black",0.000351219139929189,0.692856506193403
"116","XM_022488912.1","GO:0016491;GO:0042592"," SH3 domain-binding glutamic acid-rich-like protein 3","crg:105347012","black",0.000367519610444089,0.69122343939796
"117","XM_022482407.1","GO:0005739;GO:0006091;GO:0032991"," NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9-like","crg:105329407","black",0.000375109680496992,0.690484203574262
"118","XM_022476929.1",""," uncharacterized","crg:105331717","black",0.000394189145651532,0.688681259398804
"119","XM_022488715.1","GO:0006457;GO:0032991;GO:0051082"," prefoldin subunit 4-like","crg:105331359","black",0.000407299911449607,0.687485358573185
"120","XM_022431246.1",""," uncharacterized","crg:105325421","black",0.000431711171661047,0.685344221954409
"121","XM_022457418.1","GO:0043167"," myosin regulatory light polypeptide 9-like","crg:105334726","black",0.000450807782730222,0.683740604893093
"122","XM_022475802.1",""," NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13-like","crg:105341417","black",0.000507560860708521,0.679296990298205
"123","XM_022476416.1","GO:0005739;GO:0006605;GO:0032991"," mitochondrial import receptor subunit TOM20 homolog","crg:105341759","black",0.000529948583529116,0.677660804791945
"124","XM_022486812.1","GO:0005622;GO:0006091;GO:0016491;GO:0022857;GO:0032991"," cytochrome c oxidase subunit 4 isoform 1, mitochondrial-like","crg:105347217","black",0.000530439844607317,0.677625571301763
"125","XM_022450107.1","GO:0005840;GO:0008135"," elongation factor 1-beta-like","crg:105342979","black",0.000535043470817166,0.677296749828501
"126","XM_022457466.1","GO:0000003;GO:0009058;GO:0016301;GO:0030154;GO:0034641;GO:0044281"," nucleoside diphosphate kinase homolog 5-like","crg:105343797","black",0.000560860958064745,0.675496419290844
"127","XM_022488585.1","GO:0005737;GO:0032991"," N-alpha-acetyltransferase 38, NatC auxiliary subunit-like","crg:105344678","black",0.000602761732165115,0.672720377443467
"128","XM_022463840.1","GO:0005840;GO:0008135"," eukaryotic translation initiation factor 3 subunit I-like","crg:105341239","black",0.000645609404069469,0.670047601241237
"129","XM_022466146.1","GO:0005622;GO:0006091;GO:0016491;GO:0032991;GO:0055085"," cytochrome b-c1 complex subunit 8-like","crg:105343627","black",0.000672108957927003,0.668469688044566
"130","XM_022459871.1","GO:0005575;GO:0006091;GO:0009058;GO:0016491;GO:0044281;GO:0051186;GO:0055085"," NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2-like","crg:105336677","black",0.000673071790656053,0.668413365522669
"131","XM_022472209.1",""," keratin, type II cytoskeletal 3-like","crg:105322034","black",0.00068389471708007,0.667784957982335
"132","XM_022464815.1",""," protein PLANT CADMIUM RESISTANCE 3-like","crg:105345004","black",0.000726215731330231,0.665406606630663
"133","XM_022470798.1","GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S18","crg:105347800","black",0.000835230632047252,0.659785598522298
"134","XM_022468913.1","GO:0005737;GO:0005783;GO:0006810;GO:0032991"," protein transport protein Sec61 subunit beta-like","crg:105346081","black",0.000868488484764945,0.65819574423939
"135","XM_022463302.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S7-like","crg:105319797","black",0.000892952056816256,0.657059137959727
"136","XM_022477667.1","GO:0005739;GO:0006091;GO:0016491;GO:0022857;GO:0032991"," cytochrome c oxidase subunit 5A, mitochondrial-like","crg:105340053","black",0.000915570361176417,0.656031664582819
"137","XM_022487416.1","GO:0006091;GO:0009058;GO:0016491;GO:0044281;GO:0051186;GO:0055085"," NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial-like","crg:105319312","black",0.00102022590610787,0.651542136037738
"138","XM_022475115.1","GO:0006397;GO:0032991"," U6 snRNA-associated Sm-like protein LSm6","crg:105322958","black",0.00109926794474677,0.64840474601553
"139","XM_022482199.1","GO:0005622;GO:0006091;GO:0016491;GO:0022857;GO:0032991"," cytochrome c oxidase subunit 4 isoform 1, mitochondrial-like","crg:105347217","black",0.00113414412273578,0.647081174081647
"140","XM_022471841.1","GO:0005622;GO:0006091;GO:0016491;GO:0032991;GO:0055085"," cytochrome b-c1 complex subunit 8-like","crg:105343627","black",0.00115607813725121,0.646266404635554
"141","XM_022475857.1","GO:0032991"," intraflagellar transport protein 43 homolog A-like","crg:105333509","black",0.00119812618266148,0.644740572822995
"142","XM_022462213.1","GO:0006629;GO:0009058;GO:0044281"," acyl carrier protein, mitochondrial-like","crg:105321030","black",0.00122038193467569,0.643951310430271
"143","XM_022490044.1","GO:0005622;GO:0009058;GO:0022857;GO:0032991;GO:0034641;GO:0044281"," ATP synthase lipid-binding protein, mitochondrial-like","crg:105319162","black",0.00126787373842977,0.642307201772323
"144","XM_022485721.1",""," intraflagellar transport protein 22 homolog","crg:105344108","black",0.00130867080875636,0.640936141998068
"145","XM_022489114.1","GO:0005737;GO:0032991"," N-alpha-acetyltransferase 38, NatC auxiliary subunit-like","crg:105343135","black",0.00135500698552717,0.639422298901127
"146","XM_022487990.1",""," cytochrome b5 domain-containing protein 1-like","crg:105343134","black",0.00137883663502213,0.638660814023445
"147","XM_022469773.1","GO:0043167"," E3 ubiquitin-protein ligase RBX1","crg:105345768","black",0.00139738676091925,0.638075735886609
"148","XM_022481325.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 39S ribosomal protein L23, mitochondrial-like","crg:105339899","black",0.00140325446056934,0.637892039199007
"149","XM_022474462.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L17-like","crg:105323475","black",0.0015385417857075,0.63382754063512
"150","XM_022452991.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L37a","crg:105323629","black",0.0015924283977713,0.632292690429692
"151","XM_022489877.1",""," uncharacterized","crg:105343138","black",0.00169908298051605,0.629380334512939
"152","XM_022457604.1","GO:0016491;GO:0042592"," peroxiredoxin-like","crg:105333993","black",0.00181101831408221,0.626485807517955
"153","XM_022442456.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 40S ribosomal protein S23","crg:105348430","black",0.00183605067566306,0.625859293336276
"154","XM_022435531.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 60S ribosomal protein L44-like","crg:105348141","black",0.00185853876540064,0.625302590437526
"155","XM_022482332.1","GO:0003674;GO:0007005"," mitochondrial fission 1 protein-like","crg:105343458","black",0.00186466051205508,0.62515203093023
"156","XM_022480579.1","GO:0005739;GO:0006091;GO:0016491;GO:0022857;GO:0032991"," cytochrome c oxidase subunit 6A2, mitochondrial-like","crg:105342170","black",0.00195183058936014,0.623052276433985
"157","XM_022477193.1","GO:0005622;GO:0007010;GO:0008092;GO:0065003"," glia maturation factor beta-like","crg:105348170","black",0.00209078207004132,0.619863623569556
"158","XM_022487397.1","GO:0016491"," NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial-like","crg:105318424","black",0.0020958886139296,0.619749889660152
"159","XM_022477701.1","GO:0003723"," RNA-binding protein PNO1-like","crg:105340132","black",0.00221211640700068,0.617222466932703
"160","XM_022461360.1",""," cysteine-rich protein 1-like","crg:105334808","black",0.00229679775686977,0.615450706816673
"161","XM_022488031.1",""," cytochrome b5 domain-containing protein 1-like","crg:105343134","black",0.00230397303243192,0.61530312702472
"162","XM_022489849.1",""," cilia- and flagella-associated protein 20-like","crg:105332854","black",0.00239428762267703,0.61347793942692
"163","XM_022481231.1","GO:0003674"," peptidyl-tRNA hydrolase 2, mitochondrial-like","crg:105332046","black",0.00254922584783196,0.61047774514885
"164","XM_022463531.1",""," uncharacterized","crg:105322191","black",0.00255067642432518,0.610450390891856
"165","XM_022482600.1","GO:0003677"," programmed cell death protein 5-like","crg:105325744","black",0.00257804590332237,0.609936710713576
"166","XM_022458389.1","GO:0043167"," zinc finger SWIM domain-containing protein 6-like","crg:105330309","black",0.0026916819555338,0.607851866865087
"167","XM_022479011.1","GO:0007009;GO:0022607"," caveolin-1-like","crg:105334327","black",0.00283055600422645,0.605402291207213
"168","XM_022478229.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," 28S ribosomal protein S16, mitochondrial-like","crg:105323603","black",0.00295375055242337,0.603312481028698
"169","XM_022478636.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," ubiquitin-40S ribosomal protein S27a","crg:105348876","black",0.00296145521833292,0.603184233420541
"170","XM_022461471.1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"," probable 60S ribosomal protein L37-A","crg:105328963","black",0.00297180623644135,0.60301237677298
"171","XM_022435687.1",""," 60S ribosomal protein L24-like","crg:105342603","black",0.00300555401047991,0.602455538257742
"172","XM_022439180.1",""," costars family protein ABRACL-like","crg:105325896","black",0.00300701942839963,0.6024314780893
"173","XM_022472265.1",""," uncharacterized","crg:105322191","black",0.00301531041585116,0.602295536599015
"174","XM_022463376.1",""," uncharacterized","crg:105325420","black",0.00302381109513947,0.602156482600688
"175","XM_022479911.1","GO:0003674;GO:0005622;GO:0009058;GO:0032991;GO:0034641"," heat shock factor-binding protein 1-like","crg:105345817","black",0.00306782309976283,0.601441742814655
"176","XM_022445844.1","GO:0005634;GO:0006397;GO:0022618;GO:0032991"," small nuclear ribonucleoprotein F","crg:105322958","black",0.00307125124122097,0.601386433307964
"177","XM_022438331.1","GO:0006810;GO:0042592;GO:0043167"," soma ferritin-like","crg:105336322","black",0.00311499522362946,0.600685183113601
"178","XM_022463568.1","GO:0008233"," elastase-1-like","crg:105341949","blue",8.96792576528254e-13,0.962295584330973
"179","XM_022480743.1","GO:0003674"," tomoregulin-2-like","crg:105318060","blue",3.8150492506404e-12,0.95631276008858
